competencia;caixa;municipio;estado;royalties minimos;royalties excedentes
45597;45658;aguia branca-es;es;86698,35;0
45597;45658;alegre-es;es;121377,7;0
45597;45658;alfredo chaves-es;es;95368,21;0
45597;45658;alto rio novo-es;es;86698,35;0
45597;45658;anchieta-es;es;585018,68;867392,11
45597;45658;apiaca-es;es;86698,35;0
45597;45658;aracruz-es;es;1323823,92;473290,01
45597;45658;atilio vivacqua-es;es;86698,35;0
45597;45658;baixo guandu-es;es;121377,7;0
45597;45658;barra de sao francisco-es;es;134368,6;0
45597;45658;boa esperanca-es;es;99689,26;0
45597;45658;bom jesus do norte-es;es;86698,35;0
45597;45658;brejetuba-es;es;91033,27;0
45597;45658;cachoeiro de itapemirim-es;es;170986,26;0
45597;45658;cariacica-es;es;764686,6;0
45597;45658;castelo-es;es;125712,6;0
45597;45658;colatina-es;es;160391,98;0
45597;45658;conceicao da barra-es;es;122277,8;2219,4
45597;45658;conceicao do castelo-es;es;91033,27;0
45597;45658;divino de sao lourenco-es;es;86698,35;0
45597;45658;domingos martins-es;es;121377,7;0
45597;45658;dores do rio preto-es;es;86698,35;0
45597;45658;ecoporanga-es;es;112707,87;0
45597;45658;fundao-es;es;480775,98;77419,6
45597;45658;governador lindenberg-es;es;91019,42;0
45597;45658;guacui-es;es;117042,79;0
45597;45658;guarapari-es;es;751649,28;0
45597;45658;ibatiba-es;es;112694,01;0
45597;45658;ibiracu-es;es;91033,27;0
45597;45658;ibitirama-es;es;86698,35;0
45597;45658;iconha-es;es;95354,35;0
45597;45658;irupi-es;es;91033,27;0
45597;45658;itaguacu-es;es;99689,26;0
45597;45658;itapemirim-es;es;1095376,66;4101226,36
45597;45658;itarana-es;es;91033,27;0
45597;45658;iuna-es;es;117042,79;0
45597;45658;jaguare-es;es;986077,72;158670,65
45597;45658;jeronimo monteiro-es;es;91033,27;0
45597;45658;joao neiva-es;es;99703,12;0
45597;45658;laranja da terra-es;es;91033,27;0
45597;45658;linhares-es;es;6391926,43;372422,71
45597;45658;mantenopolis-es;es;95354,35;0
45597;45658;marataizes-es;es;1153794,8;4761932,17
45597;45658;marechal floriano-es;es;99689,26;0
45597;45658;marilandia-es;es;91033,27;0
45597;45658;mimoso do sul-es;es;117042,79;0
45597;45658;montanha-es;es;104038,02;0
45597;45658;mucurici-es;es;86698,35;0
45597;45658;muniz freire-es;es;108372,97;0
45597;45658;muqui-es;es;99689,26;0
45597;45658;nova venecia-es;es;134382,46;0
45597;45658;pancas-es;es;112694,01;0
45597;45658;pedro canario-es;es;703997,75;0
45597;45658;pinheiros-es;es;112707,87;0
45597;45658;piuma-es;es;1073798,32;677579,46
45597;45658;ponto belo-es;es;86698,35;0
45597;45658;presidente kennedy-es;es;981157,12;7310396,63
45597;45658;rio bananal-es;es;104038,02;0
45597;45658;rio novo do sul-es;es;91033,27;0
45597;45658;santa leopoldina-es;es;95368,21;0
45597;45658;santa maria de jetiba-es;es;125698,75;0
45597;45658;santa teresa-es;es;112707,87;0
45597;45658;sao domingos do norte-es;es;86698,35;0
45597;45658;sao gabriel da palha-es;es;121377,7;0
45597;45658;sao jose do calcado-es;es;91033,27;0
45597;45658;sao mateus-es;es;463792,03;86009,04
45597;45658;sao roque do canaa-es;es;91033,27;0
45597;45658;serra-es;es;1355132,78;201662,58
45597;45658;sooretama-es;es;703986,89;0
45597;45658;vargem alta-es;es;108359,1;0
45597;45658;venda nova do imigrante-es;es;112694,01;0
45597;45658;viana-es;es;690431,84;18861,42
45597;45658;vila pavao-es;es;86698,35;0
45597;45658;vila valerio-es;es;95368,21;0
45597;45658;vila velha-es;es;816162,86;0
45597;45658;vitoria-es;es;1392034,39;43474,64
45597;45658;bacabal-ma;ma;25949,22;19461,91
45597;45658;barreirinhas-ma;ma;591286,66;0
45597;45658;bernardo do mearim-ma;ma;813625,54;269285,84
45597;45658;bom lugar-ma;ma;19660,99;14745,74
45597;45658;capinzal do norte-ma;ma;629494,87;67185,6
45597;45658;lima campos-ma;ma;766764,88;257138,16
45597;45658;pedreiras-ma;ma;578857,59;9362,41
45597;45658;pocao de pedras-ma;ma;20192,81;15144,61
45597;45658;primeira cruz-ma;ma;590915,06;309,44
45597;45658;santo amaro do maranhao-ma;ma;294,3;0,28
45597;45658;santo antonio dos lopes-ma;ma;629696,37;644836,83
45597;45658;sao domingos do maranhao-ma;ma;588868,57;0
45597;45658;sao luis gonzaga do maranhao-ma;ma;539,8;404,85
45597;45658;trizidela do vale-ma;ma;717756,51;135523,15
45597;45658;alfredo vasconcelos-mg;mg;586397,29;0
45597;45658;barbacena-mg;mg;514054,5;624,45
45597;45658;belmiro braga-mg;mg;584990,28;0
45597;45658;belo oriente-mg;mg;591326,88;0
45597;45658;betim-mg;mg;530245,39;58013,52
45597;45658;brumadinho-mg;mg;538978,42;4457,8
45597;45658;confins-mg;mg;591289,88;0
45597;45658;congonhas-mg;mg;591257,3;0
45597;45658;coronel fabriciano-mg;mg;591257,49;0
45597;45658;ewbank da camara-mg;mg;103,46;0
45597;45658;ibirite-mg;mg;582473,34;0
45597;45658;ipatinga-mg;mg;591279,02;0
45597;45658;itabirito-mg;mg;591257,3;0
45597;45658;jacutinga-mg;mg;570073,33;0,15
45597;45658;jeceaba-mg;mg;591257,3;0
45597;45658;juiz de fora-mg;mg;597057,96;5764,64
45597;45658;nazareno-mg;mg;591257,3;0
45597;45658;ouro branco-mg;mg;590893,81;0
45597;45658;pequi-mg;mg;591257,3;0
45597;45658;queluzita-mg;mg;548530,96;0
45597;45658;ressaquinha-mg;mg;581799,59;0
45597;45658;rio piracicaba-mg;mg;591257,49;0
45597;45658;santa luzia-mg;mg;678460,93;0
45597;45658;santana do paraiso-mg;mg;591303,6;0
45597;45658;santos dumont-mg;mg;18,17;0
45597;45658;sao bras do suacui-mg;mg;502003,42;49690,36
45597;45658;sao jose da lapa-mg;mg;587059,02;0
45597;45658;tres lagoas-ms;ms;404,2;568,16
45597;45658;afua-pa;pa;0;1953,39
45597;45658;alenquer-pa;pa;0;1964,51
45597;45658;almeirim-pa;pa;0;1978,69
45597;45658;anajas-pa;pa;0;1958,64
45597;45658;breves-pa;pa;0;1959,38
45597;45658;chaves-pa;pa;0;1959,88
45597;45658;curua-pa;pa;0;1984,11
45597;45658;faro-pa;pa;0;3563,85
45597;45658;gurupa-pa;pa;0;1957,67
45597;45658;juruti-pa;pa;0;1967,8
45597;45658;melgaco-pa;pa;0;1957,1
45597;45658;monte alegre-pa;pa;0;1967,46
45597;45658;obidos-pa;pa;0;1976,49
45597;45658;porto de moz-pa;pa;0;2983,41
45597;45658;prainha-pa;pa;0;1956,51
45597;45658;santarem-pa;pa;0;1956,63
45597;45658;terra santa-pa;pa;0;1956,68
45597;45658;alhandra-pb;pb;282656,5;0
45597;45658;bayeux-pb;pb;570971,85;0
45597;45658;caldas brandao-pb;pb;568580,61;0
45597;45658;inga-pb;pb;567105,7;0
45597;45658;jacarau-pb;pb;567728,47;0
45597;45658;mamanguape-pb;pb;563032,39;157,39
45597;45658;pedras de fogo-pb;pb;517745,5;40,9
45597;45658;remigio-pb;pb;591257,3;0
45597;45658;santa rita-pb;pb;480327,87;9204,6
45597;45658;sao miguel de taipu-pb;pb;578055,02;0
45597;45658;abreu e lima-pe;pe;541868,93;12656,83
45597;45658;belo jardim-pe;pe;591205,22;0
45597;45658;cabo de santo agostinho-pe;pe;214345,47;884283,85
45597;45658;camaragibe-pe;pe;828,56;0
45597;45658;goiana-pe;pe;352894,35;21226,18
45597;45658;gravata-pe;pe;591257,3;0
45597;45658;igarassu-pe;pe;551314,36;15011,45
45597;45658;ipojuca-pe;pe;425807,79;1335680,48
45597;45658;itambe-pe;pe;246,99;0
45597;45658;itaquitinga-pe;pe;214345,47;0
45597;45658;jaboatao dos guararapes-pe;pe;619027,18;22289,46
45597;45658;moreno-pe;pe;538039,77;0
45597;45658;pombos-pe;pe;591257,49;0
45597;45658;recife-pe;pe;336,32;0
45597;45658;sao lourenco da mata-pe;pe;511210,94;20342,12
45597;45658;sirinhaem-pe;pe;0;897941,14
45597;45658;tacaimbo-pe;pe;591205,03;0
45597;45658;vitoria de santo antao-pe;pe;27,48;0
45597;45658;araucaria-pr;pr;552637,3;5893235,08
45597;45658;campo largo-pr;pr;619500,01;1374,35
45597;45658;guaratuba-pr;pr;558086,18;0
45597;45658;pitanga-pr;pr;76718,06;1878,62
45597;45658;sao mateus do sul-pr;pr;913362,23;799210,1
45597;45658;angra dos reis-rj;rj;13182016,68;6046347,16
45597;45658;aperibe-rj;rj;1828999,31;0
45597;45658;araruama-rj;rj;13462023,15;49845884,24
45597;45658;areal-rj;rj;1828882,55;0
45597;45658;armacao dos buzios-rj;rj;21357697,46;8638349,11
45597;45658;arraial do cabo-rj;rj;10099024,71;53743853,97
45597;45658;barra do pirai-rj;rj;3713514,57;0
45597;45658;barra mansa-rj;rj;3949325,42;10686,1
45597;45658;belford roxo-rj;rj;3483808,24;0
45597;45658;bom jardim-rj;rj;2351570,57;0
45597;45658;bom jesus do itabapoana-rj;rj;2525760,97;0
45597;45658;cabo frio-rj;rj;14722994,91;16906951,04
45597;45658;cachoeiras de macacu-rj;rj;14396043,74;0
45597;45658;cambuci-rj;rj;2003189,73;0
45597;45658;campos dos goytacazes-rj;rj;14784814,64;40731939,5
45597;45658;cantagalo-rj;rj;2177380,14;0
45597;45658;carapebus-rj;rj;8358828,4;1126621,95
45597;45658;cardoso moreira-rj;rj;1916094,52;0
45597;45658;carmo-rj;rj;2090284,94;0
45597;45658;casimiro de abreu-rj;rj;10832696,48;8072965,47
45597;45658;comendador levy gasparian-rj;rj;1741792,92;0
45597;45658;conceicao de macabu-rj;rj;2264475,35;0
45597;45658;cordeiro-rj;rj;2264475,35;0
45597;45658;duas barras-rj;rj;1828999,31;0
45597;45658;duque de caxias-rj;rj;14529584,95;865971,82
45597;45658;engenheiro paulo de frontin-rj;rj;1916094,52;0
45597;45658;guapimirim-rj;rj;14835330,23;470771,55
45597;45658;iguaba grande-rj;rj;2264475,35;14861309,87
45597;45658;itaborai-rj;rj;4015827,81;596388,85
45597;45658;itaguai-rj;rj;13109948,71;1054,28
45597;45658;italva-rj;rj;2003189,73;0
45597;45658;itaocara-rj;rj;2264475,35;0
45597;45658;itaperuna-rj;rj;3135427,41;0
45597;45658;itatiaia-rj;rj;2438665,75;0
45597;45658;japeri-rj;rj;3476364,46;262433,8
45597;45658;laje do muriae-rj;rj;1741904,11;0
45597;45658;macae-rj;rj;113380172,3;7342552,08
45597;45658;macuco-rj;rj;1741904,11;0
45597;45658;mage-rj;rj;16557291,49;441271,97
45597;45658;mangaratiba-rj;rj;10598249,14;4752452,94
45597;45658;marica-rj;rj;13464271,66;211238476,7
45597;45658;mendes-rj;rj;2090284,94;0
45597;45658;mesquita-rj;rj;3483808,24;0
45597;45658;miguel pereira-rj;rj;2351570,57;0
45597;45658;miracema-rj;rj;2351570,57;0
45597;45658;natividade-rj;rj;2003189,73;0
45597;45658;nilopolis-rj;rj;3483808,24;0
45597;45658;niteroi-rj;rj;14647219,83;67520756,49
45597;45658;nova friburgo-rj;rj;3483808,24;0
45597;45658;nova iguacu-rj;rj;3483808,24;0
45597;45658;paracambi-rj;rj;3218667,97;654,36
45597;45658;paraiba do sul-rj;rj;3291036,52;0
45597;45658;parati-rj;rj;10042377,95;9544411,98
45597;45658;paty do alferes-rj;rj;2913396,52;0
45597;45658;petropolis-rj;rj;3483808,24;0
45597;45658;pinheiral-rj;rj;2848030,43;0
45597;45658;pirai-rj;rj;2802120,32;7484,68
45597;45658;porciuncula-rj;rj;2090284,94;0
45597;45658;porto real-rj;rj;2710652,44;0
45597;45658;quatis-rj;rj;1916094,52;0
45597;45658;queimados-rj;rj;3396713,04;0
45597;45658;quissama-rj;rj;9751963,27;8097008,32
45597;45658;resende-rj;rj;3897023,88;22352,52
45597;45658;rio bonito-rj;rj;2787046,59;0
45597;45658;rio claro-rj;rj;2090194,92;0
45597;45658;rio das flores-rj;rj;2330111,37;2296,45
45597;45658;rio das ostras-rj;rj;13104981,9;4632254,75
45597;45658;rio de janeiro-rj;rj;13319594,67;12907568,81
45597;45658;santa maria madalena-rj;rj;1828999,31;0
45597;45658;santo antonio de padua-rj;rj;2699951,38;0
45597;45658;sao fidelis-rj;rj;2612856,19;0
45597;45658;sao francisco de itabapoana-rj;rj;2699951,38;3859534,96
45597;45658;sao goncalo-rj;rj;3395674,16;441290,43
45597;45658;sao joao da barra-rj;rj;10826675,03;13515885,15
45597;45658;sao joao de meriti-rj;rj;3483808,24;0
45597;45658;sao jose de uba-rj;rj;1741904,11;0
45597;45658;sao jose do vale do rio preto-rj;rj;2264475,35;0
45597;45658;sao pedro da aldeia-rj;rj;3135427,41;465,43
45597;45658;sao sebastiao do alto-rj;rj;1741904,11;0
45597;45658;sapucaia-rj;rj;2090151,5;0
45597;45658;saquarema-rj;rj;12382003,85;161526007,1
45597;45658;seropedica-rj;rj;3639589,51;0
45597;45658;silva jardim-rj;rj;11696785,53;0
45597;45658;sumidouro-rj;rj;2003189,73;0
45597;45658;tangua-rj;rj;2438665,75;0
45597;45658;teresopolis-rj;rj;3483756,16;0
45597;45658;trajano de morais-rj;rj;1828999,31;0
45597;45658;tres rios-rj;rj;3637006,19;0
45597;45658;valenca-rj;rj;2961237,01;0
45597;45658;varre-sai-rj;rj;1741904,11;0
45597;45658;vassouras-rj;rj;3114023,08;0
45597;45658;volta redonda-rj;rj;3919926,68;940,75
45597;45658;acari-rn;rn;383,57;0
45597;45658;acu-rn;rn;1241058,29;448473,66
45597;45658;afonso bezerra-rn;rn;558603,55;3,22
45597;45658;agua nova-rn;rn;365,3;0
45597;45658;alexandria-rn;rn;401,83;0
45597;45658;almino afonso-rn;rn;365,3;0
45597;45658;alto do rodrigues-rn;rn;2400290,5;120334,13
45597;45658;antonio martins-rn;rn;365,3;0
45597;45658;apodi-rn;rn;743918,79;74168,18
45597;45658;areia branca-rn;rn;993228,81;323603,44
45597;45658;augusto severo-rn;rn;365,3;0
45597;45658;barauna-rn;rn;564,32;0
45597;45658;caico-rn;rn;602,75;0
45597;45658;caraubas-rn;rn;758701,17;55711,86
45597;45658;carnauba dos dantas-rn;rn;365,3;0
45597;45658;carnaubais-rn;rn;605621,59;60843,48
45597;45658;cerro cora-rn;rn;383,57;0
45597;45658;coronel joao pessoa-rn;rn;365,3;0
45597;45658;cruzeta-rn;rn;365,3;0
45597;45658;currais novos-rn;rn;566,22;0
45597;45658;doutor severiano-rn;rn;365,3;0
45597;45658;encanto-rn;rn;365,3;0
45597;45658;equador-rn;rn;365,3;0
45597;45658;felipe guerra-rn;rn;2439024,73;48254,6
45597;45658;florania-rn;rn;365,3;0
45597;45658;francisco dantas-rn;rn;365,3;0
45597;45658;frutuoso gomes-rn;rn;365,3;0
45597;45658;galinhos-rn;rn;566650,94;4811,11
45597;45658;goianinha-rn;rn;214345,47;0
45597;45658;governador dix-sept rosado-rn;rn;820686,69;87956,03
45597;45658;grossos-rn;rn;6392620,59;0
45597;45658;guamare-rn;rn;214345,47;1641,16
45597;45658;ielmo marinho-rn;rn;600005,52;0
45597;45658;ipanguacu-rn;rn;401,83;0
45597;45658;ipueira-rn;rn;365,3;0
45597;45658;itaja-rn;rn;365,3;0
45597;45658;itau-rn;rn;365,3;0
45597;45658;jandaira-rn;rn;578568,88;0
45597;45658;janduis-rn;rn;365,3;0
45597;45658;jardim de piranhas-rn;rn;401,83;0
45597;45658;jardim do serido-rn;rn;401,83;0
45597;45658;joao camara-rn;rn;584990,28;0
45597;45658;joao dias-rn;rn;365,3;0
45597;45658;jose da penha-rn;rn;365,3;0
45597;45658;jucurutu-rn;rn;438,36;0
45597;45658;lagoa nova-rn;rn;401,83;0
45597;45658;lucrecia-rn;rn;365,3;0
45597;45658;luis gomes-rn;rn;365,3;0
45597;45658;macaiba-rn;rn;352049,43;7460,34
45597;45658;macau-rn;rn;226330,83;507776,15
45597;45658;major sales-rn;rn;365,3;0
45597;45658;marcelino vieira-rn;rn;365,3;0
45597;45658;martins-rn;rn;365,3;0
45597;45658;messias targino-rn;rn;365,3;0
45597;45658;monte alegre-rn;rn;325,91;0
45597;45658;mossoro-rn;rn;1249842,91;619836,6
45597;45658;olho d'agua do borges-rn;rn;365,3;0
45597;45658;ouro branco-rn;rn;365,3;0
45597;45658;parana-rn;rn;365,3;0
45597;45658;parau-rn;rn;365,3;0
45597;45658;parelhas-rn;rn;474,89;0
45597;45658;patu-rn;rn;383,57;0
45597;45658;pau dos ferros-rn;rn;493,16;0
45597;45658;pedro avelino-rn;rn;365,3;0
45597;45658;pedro velho-rn;rn;571697,16;0
45597;45658;pendencias-rn;rn;214345,47;2869,28
45597;45658;piloes-rn;rn;365,3;0
45597;45658;portalegre-rn;rn;365,3;0
45597;45658;porto do mangue-rn;rn;588088,13;18550,32
45597;45658;rafael fernandes-rn;rn;365,3;0
45597;45658;rafael godeiro-rn;rn;365,3;0
45597;45658;riacho da cruz-rn;rn;365,3;0
45597;45658;riacho de santana-rn;rn;365,3;0
45597;45658;rodolfo fernandes-rn;rn;365,3;0
45597;45658;santana do serido-rn;rn;365,3;0
45597;45658;sao fernando-rn;rn;365,3;0
45597;45658;sao francisco do oeste-rn;rn;365,3;0
45597;45658;sao goncalo do amarante-rn;rn;356,41;0
45597;45658;sao joao do sabugi-rn;rn;365,3;0
45597;45658;sao jose de mipibu-rn;rn;115,62;0
45597;45658;sao jose do serido-rn;rn;365,3;0
45597;45658;sao miguel-rn;rn;474,89;0
45597;45658;sao rafael-rn;rn;365,3;0
45597;45658;sao vicente-rn;rn;365,3;0
45597;45658;serra do mel-rn;rn;4813147,58;17728,74
45597;45658;serra negra do norte-rn;rn;365,3;0
45597;45658;serrinha dos pintos-rn;rn;365,3;0
45597;45658;severiano melo-rn;rn;365,3;0
45597;45658;taboleiro grande-rn;rn;365,3;0
45597;45658;tenente ananias-rn;rn;365,3;0
45597;45658;tenente laurentino cruz-rn;rn;365,3;0
45597;45658;tibau-rn;rn;1234164,04;0
45597;45658;timbauba dos batistas-rn;rn;365,3;0
45597;45658;triunfo potiguar-rn;rn;365,3;0
45597;45658;umarizal-rn;rn;383,57;0
45597;45658;upanema-rn;rn;169009,86;53019,4
45597;45658;venha-ver-rn;rn;365,3;0
45597;45658;vicosa-rn;rn;365,3;0
45597;45658;arambare-rs;rs;0;26,45
45597;45658;ararica-rs;rs;543525,25;0
45597;45658;barra do ribeiro-rs;rs;0;37,56
45597;45658;camaqua-rs;rs;0;53,23
45597;45658;campo bom-rs;rs;591257,3;0
45597;45658;canoas-rs;rs;214345,47;0
45597;45658;capivari do sul-rs;rs;0;25,48
45597;45658;cidreira-rs;rs;0;770056,64
45597;45658;eldorado do sul-rs;rs;0;28,59
45597;45658;gravatai-rs;rs;582938,58;122,76
45597;45658;guaiba-rs;rs;591257,49;34,63
45597;45658;igrejinha-rs;rs;194,35;0
45597;45658;imbe-rs;rs;256666,02;939366,46
45597;45658;jaquirana-rs;rs;587522,14;0
45597;45658;mostardas-rs;rs;0;0,38
45597;45658;osorio-rs;rs;0;3722,21
45597;45658;palmares do sul-rs;rs;0;68,53
45597;45658;pelotas-rs;rs;0;25,36
45597;45658;porto alegre-rs;rs;0;25,77
45597;45658;rio grande-rs;rs;568528,77;333,87
45597;45658;santo antonio da patrulha-rs;rs;0,19;0
45597;45658;sao francisco de paula-rs;rs;546614,88;0
45597;45658;sao jose do norte-rs;rs;0;108,59
