data;código do campo;campo;corrente;preço;;
45292;3605;Concriz;Concriz;2127,4492;;
45292;61;Congro;Cabiúnas Mistura;2247,5228;;
45292;83;Coqueiro Seco;Tabuleiro;2198,9321;;
45292;58;Córrego Dourado;Cricaré;2104,4272;;
45292;70;Corvina;Cabiúnas Mistura;2247,5228;;
45292;2005;Crejoá;-1;2061,3007;;
45292;86;Cupiúba;Urucu;2579,5419;;
45292;76;Curimã;-1;3023,3486;;
45292;90;Dentão;Pescada;2755,2003;;
45292;91;Dom João;Polo Recôncavo;2211,341;;
45292;3345;Dó-Ré-Mi;-1;2083,55;;
45292;93;Dourado;-1;3023,3486;;
45292;95;Enchova;Polo Enchova;2278,9637;;
45292;96;Enchova Oeste;Polo Enchova;2278,9637;;
45292;97;Espada;-1;3023,3486;;
45292;98;Espadarte;Tartaruga Verde;2267,5253;;
45292;4879;Espadim;Marlim;2150,9194;;
45292;99;Estreito;Polo Potiguar;2056,9089;;
45292;101;Fazenda Alegre;FAL;1954,2354;;
45292;102;Fazenda Alto das Pedras;Rio Ventura;2330,7223;;
45292;103;Fazenda Alvorada;Baiano Mistura;2320,7365;;
45292;100;Fazenda Azevedo;Baiano Mistura;2320,7365;;
45292;106;Fazenda Bálsamo;Baiano Mistura;2320,7365;;
45292;105;Fazenda Belém BA;Estação São Roque;2323,8333;;
45292;131;Fazenda Belém CE;Fazenda Belém;1851,2869;;
45292;104;Fazenda Boa Esperança;Baiano Mistura;2320,7365;;
45292;110;Fazenda Canaan;Polo Potiguar;2056,9089;;
45292;107;Fazenda Cedro;Cricaré;2104,4272;;
45292;108;Fazenda Curral;Upanema;2385,0059;;
45292;112;Fazenda Guindaste;Tabuleiro;2198,9321;;
45292;113;Fazenda Imbé;Baiano Mistura;2320,7365;;
45292;115;Fazenda Malaquias;Upanema;2385,0059;;
45292;116;Fazenda Matinha;Tucano Sul;2843,2242;;
45292;117;Fazenda Onça;Miranga ECOL-B;2373,6757;;
45292;118;Fazenda Panelas;Baiano Mistura;2320,7365;;
45292;120;Fazenda Pau Brasil;Tabuleiro;2198,9321;;
45292;119;Fazenda Pocinho;Polo Potiguar;2056,9089;;
45292;123;Fazenda Rio Branco;Fazenda Santo Estevão;2186,3409;;
45292;127;Fazenda Santa Luzia;Santa Luzia;2204,0007;;
45292;129;Fazenda Santa Rosa;Tucano Sul;2843,2242;;
45292;125;Fazenda Santo Estevão;Fazenda Santo Estevão;2186,3409;;
45292;126;Fazenda São Jorge;Cricaré;2104,4272;;
45292;128;Fazenda São Rafael;São Rafael;2348,8735;;
45292;1224;Foz do Vaza-Barris;-1;2396,9543;;
45292;122;Frade;Frade;2142,3429;;
45292;130;Furado;Alagoano;2384,054;;
45292;4085;Galo de Campina;-1;2195,109;;
45292;136;Garoupa;Cabiúnas Mistura;2247,5228;;
45292;137;Garoupinha;Cabiúnas Mistura;2247,5228;;
45292;4528;Gavião Azul;-1;3023,3486;;
45292;4822;Gavião Belo;-1;3023,3486;;
45292;4558;Gavião Branco;Gavião Branco;3023,3486;;
45292;4617;Gavião Branco Norte;-1;3023,3486;;
45292;4608;Gavião Caboclo;Gavião Caboclo;2879,2299;;
45292;4629;Gavião Carijó;-1;3023,3486;;
45292;4859;Gavião Mateiro;-1;3023,3486;;
45292;4627;Gavião Preto;Gavião Preto;2831,5726;;
45292;4529;Gavião Real;Gavião Real;3005,0305;;
45292;4630;Gavião Tesoura;-1;3023,3486;;
45292;4666;Gavião Vermelho;Gavião Vermelho;2963,9438;;
45292;383;Golfinho;Golfinho;2289,5089;;
45292;135;Gomo;Estação NCS;2234,1652;;
45292;4531;Graúna;-1;2755,2003;;
45292;133;Guajá;-1;2755,2003;;
45292;134;Guamaré;Polo Potiguar;2056,9089;;
45292;1283;Guanambi;Polo Recôncavo;2211,341;;
45292;3445;Guará;-1;2157,0264;;
45292;132;Guaricema;-1;3023,3486;;
45292;2405;Harpia;-1;2050,5979;;
45292;142;Icapuí;Fazenda Belém;1851,2869;;
45292;141;Ilha de Bimbarra;Polo Recôncavo;2211,341;;
45292;144;Ilha Pequena;Sergipano Terra;2172,1365;;
45292;875;Inhambu;FAL;1954,2354;;
45292;4691;Iraí;-1;2320,5665;;
45292;4841;Irara;-1;2082,4096;;
45292;4713;Iraúna;-1;2334,2858;;
45292;1103;Irerê;Irerê;2166,3694;;
45292;4711;Itaparica;-1;2814,5402;;
45292;4615;Itapu;Itapu;2333,3277;;
45292;4828;Itapu_ECO;Itapu;2333,3277;;
45292;1123;Jaçanã;Upanema;2385,0059;;
45292;147;Jacuípe;-1;2814,5402;;
45292;1727;Jacupemba;Espírito Santo;2056,6926;;
45292;743;Jacutinga;Cricaré;2104,4272;;
45292;150;Janduí;Upanema;2385,0059;;
45292;148;Jequiá;Tabuleiro;2198,9321;;
45292;2285;Jiribatuba;-1;2331,0005;;
45292;702;João de Barro;-1;2128,9111;;
45292;153;Juazeiro;Upanema;2385,0059;;
45292;152;Jubarte;Parque das Baleias;2179,4643;;
45292;983;Juriti;Ouro Preto;2266,2211;;
45292;154;Lagoa Aroeira;Conceição B;2079,8289;;
45292;162;Lagoa do Paulo;Ouro Preto;2266,2211;;
45292;483;Lagoa do Paulo Norte;Ouro Preto;2266,2211;;
45292;673;Lagoa do Paulo Sul;Ouro Preto;2266,2211;;
45292;161;Lagoa Parda;Lagoa Parda;2355,336;;
45292;165;Lagoa Parda Norte;-1;2686,3691;;
45292;4804;Lagoa Parda Sul;-1;2686,3691;;
45292;163;Lagoa Piabanha;Lagoa Parda;2355,336;;
45292;168;Lagoa Suruaca;Cricaré;2104,4272;;
45292;322;Lagosta;Condensado de Merluza;2835,7233;;
45292;159;Lamarão;Baiano Mistura;2320,7365;;
45292;1746;Lapa;Lapa;2134,2547;;
45292;157;Leodório;Baiano Mistura;2320,7365;;
45292;167;Leste de Poço Xavier;Upanema;2385,0059;;
45292;169;Leste do Urucu;Urucu;2579,5419;;
45292;158;Linguado;Polo Pampo;2135,2283;;
45292;171;Livramento;Upanema;2385,0059;;
45292;160;Lorena;Upanema;2385,0059;;
45292;4552;Maçarico;Upanema;2385,0059;;
45292;174;Macau;Macau;2286,8695;;
45292;4702;Mãe-da-Lua;-1;2814,5402;;
45292;186;Malhado;Cabiúnas Mistura;2247,5228;;
45292;185;Malombê;Baiano Mistura;2320,7365;;
45292;190;Manati;Baiano Mistura;2320,7365;;
45292;178;Mandacaru;Baiano Mistura;2320,7365;;
45292;4876;Manjuba;Albacora;2091,9442;;
45292;172;Marimbá;Polo Enchova;2278,9637;;
45292;177;Mariricu Oeste;Espírito Santo;2056,6926;;
45292;196;Marlim;Marlim;2150,9194;;
45292;187;Marlim Leste;Marlim Leste;2237,7688;;
45292;188;Marlim Sul;Marlim Sul;2191,4497;;
45292;195;Massapê;Baiano Mistura;2320,7365;;
45292;197;Massuí;Polo Recôncavo;2211,341;;
45292;184;Mata de São João;Estação São Roque;2323,8333;;
45292;181;Mato Grosso;Sergipano Terra;2172,1365;;
45292;189;Merluza;Condensado de Merluza;2835,7233;;
45292;4684;Mero;Mero;2296,1939;;
45292;381;Mexilhão;Condensado de Mexilhão;2848,9295;;
45292;180;Miranga;Miranga ECOL-B;2373,6757;;
45292;183;Miranga Norte;Miranga ECOL-B;2373,6757;;
45292;175;Monte Alegre;Polo Potiguar;2056,9089;;
45292;4807;Mosquito;-1;2686,3691;;
45292;192;Mossoró;Polo Potiguar;2056,9089;;
45292;4852;Muriqui;-1;2563,891;;
45292;4718;Murucututu;-1;2814,5402;;
45292;198;Namorado;Cabiúnas Mistura;2247,5228;;
45292;204;Nativo Oeste;Espírito Santo;2056,6926;;
45292;200;Nordeste de Namorado;Cabiúnas Mistura;2247,5228;;
45292;4740;Nordeste de Sapinhoá;Sapinhoá;2310,8682;;
45292;4741;Noroeste de Sapinhoá;Sapinhoá;2310,8682;;
45292;4654;Norte de Berbigão;Berbigão-Sururu;2309,4959;;
45292;202;Norte de Fazenda Caruaçu;Estação NCS;2234,1652;;
45292;4658;Norte de Sururu;Berbigão-Sururu;2309,4959;;
45292;4647;Oeste de Atapu;Atapu;2235,0924;;
45292;206;Oeste de Ubarana;-1;3023,3486;;
45292;657;Ostra;Ostra;2030,1132;;
45292;217;Pajeú;Upanema;2385,0059;;
45292;219;Pampo;Polo Pampo;2135,2283;;
45292;705;Papa-Terra;Papa-Terra;1881,8593;;
45292;4689;Paramirim do Vencimento;-1;2279,9589;;
45292;207;Parati;Cabiúnas Mistura;2247,5228;;
45292;1645;Pardal;Upanema;2385,0059;;
45292;215;Pargo;Pargo Cluster;2181,7854;;
45292;4556;Pariri;Polo Recôncavo;2211,341;;
45292;208;Paru;Alagoano;2384,054;;
45292;3885;Patativa;Upanema;2385,0059;;
45292;4593;Paturi;Upanema;2385,0059;;
45292;221;Pedra Sentada;Polo Potiguar;2056,9089;;
45292;212;Pedrinhas;Rio Ventura;2330,7223;;
45292;695;Peregrino;Peregrino;1888,7792;;
45292;1144;Periquito;Periquito;2370,7674;;
45292;4742;Periquito Nordeste;-1;2755,2003;;
45292;4720;Periquito Norte;-1;2755,2003;;
45292;214;Peroá;Peroá;2686,3691;;
45292;213;Pescada;Pescada;2755,2003;;
45292;216;Pilar;Alagoano;2384,054;;
45292;658;Pintassilgo;Polo Potiguar;2056,9089;;
45292;379;Piranema;-1;3023,3486;;
45292;222;Piraúna;-1;2313,0007;;
45292;4579;Pitangola;Peregrino;1888,7792;;
45292;878;Pitiguari;-1;2755,2003;;
45292;223;Poço Verde;Polo Potiguar;2056,9089;;
45292;4816;Pojuca Norte;Baiano Mistura;2320,7365;;
45292;583;Polvo;Bravo;2089,7622;;
45292;220;Ponta do Mel;Ponta do Mel;2134,4216;;
45292;210;Porto Carão;Conceição B;2079,8289;;
45292;226;Quererá;Tucano Sul;2843,2242;;
45292;2785;Rabo Branco;-1;2332,6416;;
45292;232;Redonda;Redonda;1984,2855;;
45292;242;Remanso;Estação São Roque;2323,8333;;
45292;234;Riacho da Forquilha;Upanema;2385,0059;;
45292;245;Riacho Ouricuri;Baiano Mistura;2320,7365;;
45292;255;Riacho São Pedro;-1;2814,5402;;
45292;2006;Riacho Velho;-1;2755,2003;;
45292;243;Riachuelo;Sergipano Terra;2172,1365;;
45292;228;Rio Barra Seca;-1;2686,3691;;
45292;229;Rio do Bu;Baiano Mistura;2320,7365;;
45292;4125;Rio do Carmo;-1;2755,2003;;
45292;246;Rio dos Ovos;Estação São Roque;2323,8333;;
45292;2425;Rio Ipiranga;Rio Ipiranga;2322,2293;;
45292;235;Rio Itariri;Baiano Mistura;2320,7365;;
45292;236;Rio Itaúnas;Cricaré;2104,4272;;
45292;238;Rio Itaúnas Leste;-1;2686,3691;;
45292;4803;Rio Joanes;Baiano Mistura;2320,7365;;
45292;4710;Rio Mariricu;-1;2197,5537;;
45292;241;Rio Mossoró;Upanema;2385,0059;;
45292;1907;Rio São Mateus Oeste;Espírito Santo;2056,6926;;
45292;256;Rio Subaúma;Estação São Roque;2323,8333;;
45292;257;Rio Urucu;Urucu;2579,5419;;
45292;1303;Rolinha;-1;2190,6245;;
45292;244;Roncador;Roncador;2234,3012;;
45292;263;Sabiá;Upanema;2385,0059;;
45292;3705;Sabiá Bico-de-Osso;Sabiá Bico de Osso;2167,2935;;
45292;3465;Sabiá da Mata;Sabiá da Mata;2185,2901;;
45292;4806;Saíra;Espírito Santo;2056,6926;;
45292;262;Salema;Salema;2313,0007;;
45292;403;Salema Branca;-1;2755,2003;;
45292;267;Salina Cristal;Conceição B;2079,8289;;
45292;2085;Sanhaçu;Sanhaçu;2661,0075;;
45292;261;Santana;-1;2376,2997;;
45292;269;São Domingos;Polo Recôncavo;2211,341;;
45292;4695;São João;-1;2384,9132;;
45292;2885;São Mateus Leste;Cricaré;2104,4272;;
45292;284;São Pedro;Estação São Roque;2323,8333;;
45292;2365;Sapinhoá;Sapinhoá;2310,8682;;
45292;270;Sauípe;Fazenda Santo Estevão;2186,3409;;
45292;1985;Sempre Viva;-1;2843,2242;;
45292;4614;Sépia;Sépia;2257,8115;;
45292;4676;Sépia Leste;Sépia;2257,8115;;
45292;4846;Sépia_ECO;Sépia;2257,8115;;
45292;279;Serra do Mel;Polo Potiguar;2056,9089;;
45292;287;Serra Vermelha;Polo Potiguar;2056,9089;;
45292;271;Serraria;Polo Potiguar;2056,9089;;
45292;276;Sesmaria;Estação São Roque;2323,8333;;
45292;3565;Sibite;Upanema;2385,0059;;
45292;277;Siri;-1;2755,2003;;
45292;288;Siririzinho;Sergipano Terra;2172,1365;;
45292;265;Socorro;Polo Recôncavo;2211,341;;
45292;268;Socorro Extensão;Polo Recôncavo;2211,341;;
45292;4739;Sudoeste de Sapinhoá;Sapinhoá;2310,8682;;
45292;285;Sudoeste Urucu;Urucu;2579,5419;;
45292;4758;Suindara;-1;2050,5979;;
45292;4656;Sul de Berbigão;Berbigão-Sururu;2309,4959;;
45292;266;Sul de Coruripe;Tabuleiro;2198,9321;;
45292;4616;Sul de Sapinhoá;Sul de Sapinhoá;2284,3785;;
45292;4660;Sul de Sururu;Berbigão-Sururu;2309,4959;;
45292;4611;Sul de Tupi;Sul de Tupi;2314,3018;;
45292;4649;Sururu;Berbigão-Sururu;2309,4959;;
45292;286;Sussuarana;-1;2814,5402;;
45292;1023;Tabuiaiá;Cricaré;2104,4272;;
45292;292;Tabuleiro dos Martins;Tabuleiro;2198,9321;;
45292;691;Tambaú;Tambaú-Uruguá;2387,2621;;
45292;682;Tambuatá;Búzios;2280,2525;;
45292;803;Tangará;Baiano Mistura;2320,7365;;
45292;4245;Tapiranga Norte;Rio Ventura;2330,7223;;
45292;293;Taquipe;Baiano Mistura;2320,7365;;
45292;289;Tartaruga;Tartaruga;2396,9543;;
45292;3645;Tartaruga Verde;Tartaruga Verde;2267,5253;;
45292;4747;Tartaruga Verde Sudoeste;Tartaruga Verde;2267,5253;;
45292;1925;Tico-Tico;-1;2339,2339;;
45292;3866;Tiê;Tiê;2303,9915;;
45292;1383;Tigre;Tigre;2254,7642;;
45292;4750;Tiriba;-1;2317,9704;;
45292;4808;Tiziu;-1;2755,2003;;
45292;291;Três Marias;Upanema;2385,0059;;
45292;294;Trilha;-1;2313,0007;;
45292;1865;Trinca Ferro;Upanema;2385,0059;;
45292;3945;Trovoada;Trovoada;2206,1827;;
45292;4045;Tubarão Azul;-1;2313,0007;;
45292;4534;Tubarão Martelo;Bravo;2089,7622;;
45292;3325;Tucano;-1;2077,8818;;
45292;4746;Tucano Grande;-1;3023,3486;;
45292;1063;Tupi;Tupi;2322,3684;;
45292;295;Ubarana;-1;2755,2003;;
45292;443;Uirapuru;Uirapuru;2316,5889;;
45292;296;Upanema;Upanema;2385,0059;;
45292;843;Uruguá;Tambaú-Uruguá;2387,2621;;
45292;4709;Urutau;-1;2066,7587;;
45292;4714;Vale do Quiricó;-1;2350,8793;;
45292;302;Varginha;Upanema;2385,0059;;
45292;299;Vermelho;Pargo Cluster;2181,7854;;
45292;298;Viola;Cabiúnas Mistura;2247,5228;;
45292;297;Voador;Marlim;2150,9194;;
45292;303;Xaréu;-1;3023,3486;;
45292;4527;PA-1BRSA851SES_SEAL-M-426;-1;2396,9543;;
45292;4840;PA-1ENV25DAM_AM-T-84_AM-T-85;-1;2809,4592;;
45292;4696;PA-1GALP42RN_POT-T-743;-1;2755,2003;;
45292;4719;PA-1-GOP-1A-BA_REC-T-107;-1;2814,5402;;
45292;4416;PA-1IMET27ES_ES-T-487;-1;2686,3691;;
45292;4640;PA-1PGN1MA_PN-T-48_BT-PN-4;-1;3023,3486;;
45292;4862;PA-1POT1RN_POT-T-702;-1;2755,2003;;
45292;SIX;UO SIX - SÃO MATEUS DO SUL;-2;1651,3517;;
45323;823;Abalone;Ostra;2121,901;;
45323;783;Acajá-Burizinho;Ouro Preto;2367,8794;;
45323;563;Acauã;Upanema;2510,3362;;
45323;5;Água Grande;Rio Ventura;2397,6483;;
45323;4821;Águia Real;-1;2842,6054;;
45323;7;Aguilhada;Sergipano Terra;2273,8677;;
45323;6;Agulha;-1;2929,3927;;
45323;3;Albacora;Albacora;2184,2019;;
45323;4;Albacora Leste;Albacora Leste;2136,7776;;
45323;1805;Albatroz;-1;2842,6054;;
45323;15;Alto do Rodrigues;Polo Potiguar;2144,9325;;
45323;523;Anambé;Alagoano;2571,4351;;
45323;4824;ANC_Mero;Mero;2411,5228;;
45323;4755;AnC_Norte_Atapu;Atapu;2340,7767;;
45323;4749;ANC_Tupi;Sul de Tupi;2431,4197;;
45323;1726;Andorinha;-1;2463,0462;;
45323;11;Anequim;Cabiúnas Mistura;2355,9656;;
45323;9;Angelim;Sergipano Terra;2273,8677;;
45323;10;Angico;Polo Potiguar;2144,9325;;
45323;12;Apraiús;Miranga ECOL-B;2497,4795;;
45323;14;Arabaiana;Pescada;2929,3927;;
45323;1505;Araçari;-1;2929,3927;;
45323;13;Araçás;Baiano Mistura;2437,6919;;
45323;4708;Araçás Leste;-1;2713,5329;;
45323;4546;Arapaçu;-1;3220,9439;;
45323;4025;Arara Azul;Urucu;2730,5763;;
45323;662;Araracanga;Urucu;2730,5763;;
45323;1;Aratu;Polo Recôncavo;2309,6871;;
45323;686;Argonauta;Ostra;2121,901;;
45323;724;Arribaçã;-1;2548,6971;;
45323;16;Aruari;Sergipano Terra;2273,8677;;
45323;19;Asa Branca;Upanema;2510,3362;;
45323;21;Atalaia Sul;Sergipano Terra;2273,8677;;
45323;4652;Atapu;Atapu;2340,7767;;
45323;4845;Atapu_ECO;Atapu;2340,7767;;
45323;678;Atlanta;Atlanta;1677,8056;;
45323;20;Atum;-1;3220,9439;;
45323;258;Azulão;Azulão;2988,1188;;
45323;28;Badejo;-1;2416,9645;;
45323;32;Bagre;Cabiúnas Mistura;2355,9656;;
45323;24;Baixa do Algodão;Upanema;2510,3362;;
45323;464;Baleia Anã;Parque das Baleias;2296,5432;;
45323;4690;Barra Bonita;-1;2713,5329;;
45323;34;Barra do Ipiranga;-1;2842,6054;;
45323;42;Barracuda;Barracuda-Caratinga;2416,9645;;
45323;25;Barrinha;Polo Potiguar;2144,9325;;
45323;1625;Barrinha Leste;Polo Potiguar;2144,9325;;
45323;3825;Barrinha Sudoeste;Polo Potiguar;2144,9325;;
45323;2625;Baúna;Baúna;2558,4192;;
45323;4688;Bela Vista;-1;2982,2087;;
45323;3245;Bem-Te-Vi;-1;2364,7167;;
45323;30;Benfica;Polo Potiguar;2144,9325;;
45323;2645;Berbigão;Berbigão-Sururu;2425,2411;;
45323;33;Bicudo;-1;2416,9645;;
45323;37;Bijupirá;-1;2416,9645;;
45323;35;Biquara;-1;2929,3927;;
45323;26;Biriba;-1;2982,2087;;
45323;29;Boa Esperança;Upanema;2510,3362;;
45323;1605;Bom Lugar;-1;2982,2087;;
45323;39;Bonito;Polo Enchova;2404,2639;;
45323;44;Bonsucesso;Rio Ventura;2397,6483;;
45323;41;Brejinho RN;Upanema;2510,3362;;
45323;43;Brejo Grande;Sergipano Terra;2273,8677;;
45323;23;Buracica;Baiano Mistura;2437,6919;;
45323;4598;Búzios;Búzios;2393,3055;;
45323;4827;Búzios_ECO;Búzios;2393,3055;;
45323;4700;Caburé;Caburé;2982,2087;;
45323;4706;Caburé Leste;-1;3220,9439;;
45323;48;Cação;-1;2842,6054;;
45323;51;Cachoeirinha;Upanema;2510,3362;;
45323;50;Cacimbas;Cricaré;2177,3458;;
45323;56;Caioba;-1;3220,9439;;
45323;4802;Camaçari;-1;2713,5329;;
45323;1184;Camarupim;-1;2842,6054;;
45323;2585;Camarupim Norte;-1;2842,6054;;
45323;3905;Cambacica;-1;2982,2087;;
45323;68;Camorim;-1;2523,6643;;
45323;62;Campo Grande;Cricaré;2177,3458;;
45323;55;Canabrava;Estação NCS;2337,3424;;
45323;669;Canapu;-1;2842,6054;;
45323;666;Canário;-1;2982,2087;;
45323;1043;Cancã;FAL;2019,3785;;
45323;46;Candeias;Polo Recôncavo;2309,6871;;
45323;53;Cangoá;Peroá;2842,6054;;
45323;63;Cantagalo;Baiano Mistura;2437,6919;;
45323;52;Canto do Amaro;Polo Potiguar;2144,9325;;
45323;79;Carapanaúba;Urucu;2730,5763;;
45323;78;Carapeba;Pargo Cluster;2231,3545;;
45323;2325;Carapitanga;-1;2472,4655;;
45323;80;Caratinga;Barracuda-Caratinga;2416,9645;;
45323;2505;Carcará;-1;2929,3927;;
45323;1725;Cardeal;Cardeal;2287,5392;;
45323;4664;Cardeal Amarelo;-1;2982,2087;;
45323;4665;Cardeal do Nordeste;-1;3220,9439;;
45323;74;Carmópolis;Sergipano Terra;2273,8677;;
45323;82;Cassarongongo;Estação NCS;2337,3424;;
45323;67;Castanhal;Sergipano Terra;2273,8677;;
45323;88;Cexis;Polo Recôncavo;2309,6871;;
45323;2565;Chauá;-1;2929,3927;;
45323;64;Cherne;Cabiúnas Mistura;2355,9656;;
45323;1404;Cidade de Aracaju;-1;2315,1695;;
45323;60;Cidade de Entre Rios;Baiano Mistura;2437,6919;;
45323;66;Cioba;-1;2929,3927;;
45323;923;Colibri;Colibri;2398,2352;;
45323;72;Conceição;-1;3220,9439;;
45323;3605;Concriz;-1;2397,9386;;
45323;61;Congro;Cabiúnas Mistura;2355,9656;;
45323;83;Coqueiro Seco;-1;2571,4351;;
45323;58;Córrego Dourado;Cricaré;2177,3458;;
45323;70;Corvina;Cabiúnas Mistura;2355,9656;;
45323;2005;Crejoá;-1;2145,8629;;
45323;86;Cupiúba;Urucu;2730,5763;;
45323;76;Curimã;-1;3220,9439;;
45323;90;Dentão;Pescada;2929,3927;;
45323;91;Dom João;Polo Recôncavo;2309,6871;;
45323;3345;Dó-Ré-Mi;-1;2170,8738;;
45323;93;Dourado;-1;3220,9439;;
45323;95;Enchova;Polo Enchova;2404,2639;;
45323;96;Enchova Oeste;Polo Enchova;2404,2639;;
45323;97;Espada;-1;3220,9439;;
45323;98;Espadarte;Tartaruga Verde;2377,5609;;
45323;4879;Espadim;Marlim;2280,2835;;
45323;99;Estreito;Polo Potiguar;2144,9325;;
45323;101;Fazenda Alegre;FAL;2019,3785;;
